link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,notes
1,1,2,0700_0800,3733.333,8.158,44.126,1.244,period-based
2,1,3,0700_0800,4266.667,6.455,37.181,1.422,period-based
3,2,1,0700_0800,0.000,6.000,60.000,0.000,period-based
4,2,6,0700_0800,3733.333,6.799,44.126,1.244,period-based
5,3,1,0700_0800,0.000,4.000,60.000,0.000,period-based
6,3,4,0700_0800,266.667,4.000,59.999,0.089,period-based
7,3,12,0700_0800,4000.000,5.896,40.704,1.333,period-based
8,4,3,0700_0800,0.000,4.000,60.000,0.000,period-based
9,4,5,0700_0800,266.667,2.000,59.999,0.089,period-based
10,4,11,0700_0800,0.000,6.000,60.000,0.000,period-based
11,5,4,0700_0800,0.000,2.000,60.000,0.000,period-based
12,5,6,0700_0800,266.667,4.000,59.999,0.089,period-based
13,5,9,0700_0800,0.000,5.000,60.000,0.000,period-based
14,6,2,0700_0800,0.000,5.000,60.000,0.000,period-based
15,6,5,0700_0800,0.000,4.000,60.000,0.000,period-based
16,6,8,0700_0800,4000.000,2.948,40.704,1.333,period-based
17,7,8,0700_0800,0.000,3.000,60.000,0.000,period-based
18,7,18,0700_0800,3733.333,2.719,44.126,1.244,period-based
19,8,6,0700_0800,0.000,2.000,60.000,0.000,period-based
20,8,7,0700_0800,3733.333,4.079,44.126,1.244,period-based
21,8,9,0700_0800,0.000,10.000,60.000,0.000,period-based
22,8,16,0700_0800,266.667,5.000,59.999,0.089,period-based
23,9,5,0700_0800,0.000,5.000,60.000,0.000,period-based
24,9,8,0700_0800,0.000,10.000,60.000,0.000,period-based
25,9,10,0700_0800,0.000,3.000,60.000,0.000,period-based
26,10,9,0700_0800,0.000,3.000,60.000,0.000,period-based
27,10,11,0700_0800,0.000,5.000,60.000,0.000,period-based
28,10,15,0700_0800,0.000,6.000,60.000,0.000,period-based
29,10,16,0700_0800,0.000,4.000,60.000,0.000,period-based
30,10,17,0700_0800,0.000,8.000,60.000,0.000,period-based
31,11,4,0700_0800,0.000,6.000,60.000,0.000,period-based
32,11,10,0700_0800,0.000,5.000,60.000,0.000,period-based
33,11,12,0700_0800,0.000,6.000,60.000,0.000,period-based
34,11,14,0700_0800,0.000,4.000,60.000,0.000,period-based
35,12,3,0700_0800,0.000,4.000,60.000,0.000,period-based
36,12,11,0700_0800,0.000,6.000,60.000,0.000,period-based
37,12,13,0700_0800,4000.000,4.422,40.704,1.333,period-based
38,13,12,0700_0800,0.000,3.000,60.000,0.000,period-based
39,13,24,0700_0800,4000.000,5.896,40.704,1.333,period-based
40,14,11,0700_0800,0.000,4.000,60.000,0.000,period-based
41,14,15,0700_0800,0.000,5.000,60.000,0.000,period-based
42,14,23,0700_0800,0.000,4.000,60.000,0.000,period-based
43,15,10,0700_0800,0.000,6.000,60.000,0.000,period-based
44,15,14,0700_0800,0.000,5.000,60.000,0.000,period-based
45,15,19,0700_0800,0.000,3.000,60.000,0.000,period-based
46,15,22,0700_0800,0.000,3.000,60.000,0.000,period-based
47,16,8,0700_0800,0.000,5.000,60.000,0.000,period-based
48,16,10,0700_0800,0.000,4.000,60.000,0.000,period-based
49,16,17,0700_0800,266.667,2.000,59.999,0.089,period-based
50,16,18,0700_0800,0.000,3.000,60.000,0.000,period-based
51,17,10,0700_0800,0.000,8.000,60.000,0.000,period-based
52,17,16,0700_0800,0.000,2.000,60.000,0.000,period-based
53,17,19,0700_0800,266.667,2.000,59.999,0.089,period-based
54,18,7,0700_0800,0.000,2.000,60.000,0.000,period-based
55,18,16,0700_0800,0.000,3.000,60.000,0.000,period-based
56,18,20,0700_0800,3733.333,5.439,44.126,1.244,period-based
57,19,15,0700_0800,0.000,3.000,60.000,0.000,period-based
58,19,17,0700_0800,0.000,2.000,60.000,0.000,period-based
59,19,20,0700_0800,266.667,4.000,59.999,0.089,period-based
60,20,18,0700_0800,0.000,4.000,60.000,0.000,period-based
61,20,19,0700_0800,0.000,4.000,60.000,0.000,period-based
62,20,21,0700_0800,0.000,6.000,60.000,0.000,period-based
63,20,22,0700_0800,0.000,5.000,60.000,0.000,period-based
64,21,20,0700_0800,3200.000,7.165,50.244,1.067,period-based
65,21,22,0700_0800,533.333,2.000,59.991,0.178,period-based
66,21,24,0700_0800,0.000,3.000,60.000,0.000,period-based
67,22,15,0700_0800,0.000,3.000,60.000,0.000,period-based
68,22,20,0700_0800,800.000,5.004,59.955,0.267,period-based
69,22,21,0700_0800,0.000,2.000,60.000,0.000,period-based
70,22,23,0700_0800,0.000,4.000,60.000,0.000,period-based
71,23,14,0700_0800,0.000,4.000,60.000,0.000,period-based
72,23,22,0700_0800,266.667,4.000,59.999,0.089,period-based
73,23,24,0700_0800,0.000,2.000,60.000,0.000,period-based
74,24,13,0700_0800,0.000,4.000,60.000,0.000,period-based
75,24,21,0700_0800,3733.333,4.079,44.126,1.244,period-based
76,24,23,0700_0800,266.667,2.000,59.999,0.089,period-based
